,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm
176,17.6,0.191578,844.782598,3.095872,0.076992,341.32630222222224,0.09015352358765287
177,17.7,0.073665,846.781295,3.082261,-0.117044,342.1338565656566,0.08975716365754222
178,17.8,0.099223,846.367683,3.101431,0.067937,341.9667406060606,0.09031540477577168
179,17.9,0.10085,846.939566,3.096761,-6.499251e-05,342.19780444444444,0.09017941176470587
180,18.0,0.099497,845.394493,3.118589,0.110526,341.5735325252525,0.09081505532906231
181,18.1,0.131108,846.154832,3.101417,0.030034,341.8807402020202,0.09031499708794408
182,18.2,0.103532,846.844392,3.104563,-0.023118,342.1593503030303,0.09040661036691904
183,18.3,0.08961,845.502026,3.094734,-0.062494,341.6169802020202,0.0901203843913803
184,18.4,0.058405,846.085241,3.09087,-0.076902,341.8526226262626,0.09000786255096097
185,18.5,0.059128,847.814737,3.098135,0.029671,342.5514088888889,0.09021942341292952
186,18.6,0.071644,847.213429,3.080577,-0.070892,342.30845616161616,0.089708124635993
187,18.7,0.074484,846.966195,3.106304,0.101376,342.20856363636364,0.09045730926033779
188,18.8,0.078815,845.668791,3.099213,-0.00901,341.68436,0.09025081537565521
189,18.9,0.067225,847.838213,3.089009,-0.028882,342.5608941414141,0.08995366919044845
190,19.0,0.061332,845.430674,3.092753,-0.105701,341.5881511111111,0.09006269656377401
191,19.1,0.057342,847.215127,3.099621,-0.007349,342.30914222222225,0.09026269656377402
192,19.2,0.089722,846.728856,3.105022,-0.001451,342.11266909090904,0.0904199767035527
193,19.3,0.095883,845.834969,3.097307,0.015914,341.7515026262626,0.09019531158998251
194,19.4,0.095994,844.52108,3.079798,-0.038487,341.2206383838384,0.08968543972044261
195,19.5,0.097932,844.900966,3.101385,0.006882,341.37412767676767,0.0903140652300524
196,19.6,0.088541,845.017055,3.095395,0.056378,341.42103232323234,0.09013963308095514
197,19.7,0.094885,844.586428,3.096465,-0.029719,341.2470416161616,0.0901707920792079
198,19.8,0.097201,843.322611,3.098342,-0.00421,340.7364084848485,0.09022545136866628
199,19.9,0.097289,854.181435,3.061617,-0.11285,345.1238121212121,0.08915599883517762
200,20.0,0.099804,878.012854,3.07195,-0.08087,354.75266828282827,0.08945690157251018
201,20.1,0.092139,910.932168,3.093959,-0.029037,368.05340121212123,0.09009781595806639
202,20.2,0.090469,932.469077,3.118147,0.059041,376.7551826262626,0.09080218404193359
203,20.3,0.093501,942.335414,3.16303,0.241484,380.7415814141414,0.09210920209668025
204,20.4,0.100503,947.8086,3.195333,0.449495,382.95296969696966,0.09304988351776354
205,20.5,0.099842,950.835169,3.255717,0.60893,384.1758258585858,0.09480829935934769
206,20.6,0.098018,961.480529,3.275212,0.699222,388.4769814141414,0.09537600465928944
207,20.7,0.096312,964.004383,3.310287,0.829809,389.4967204040404,0.09639740827023878
208,20.8,0.104211,970.402958,3.335332,0.925989,392.08200323232325,0.09712673267326732
209,20.9,0.087801,972.727982,3.362493,1.175649,393.0214068686869,0.09791767617938264
210,21.0,0.09662,978.648222,3.403446,1.304547,395.413423030303,0.09911025043680838
211,21.1,0.099669,983.820624,3.418268,1.276435,397.5032824242424,0.09954187536400698
212,21.2,0.099006,994.788463,3.458639,1.332188,401.9347325252525,0.10071750145602794
